SITE	ZONE	LATITUDE	LONGITUDE	ET	DATE_CH	PHMA	PMVE	PMME	NM	BMME	BMVE	PBMA	RF	ORGANISME	DATE_RF	RF_ZH	RF_Ref	ZH_Ref	ZH_Elli	REFERENCE
Dunkerque	Abords de Dunkerque	51.05	2.366667	12.16		6.48	6.05	5	3.24	1.5	0.6	-0.01	N.A.L3 - 7	IGN	2013	9.504	6.811	-2.693	40.845	IGN69
Banc du Sandettié	Abords de Dunkerque	51.25	2.05	11.95		5.81	5.4	4.45	2.89	1.35	0.55	-0.02	pas de rattachement							
Dunkerque Ouest	Abords de Dunkerque	51.0225	2.180833	11.97		6.88	6.4	5.3	3.43	1.55	0.6	-0.04	pas de rattachement							
Gravelines	Abords de Dunkerque	51.016667	2.1	11.94		6.96	6.5	5.35	3.49	1.6	0.65	0.05	pas de rattachement							
Calais	Abords de Calais	50.969333	1.8675	11.76	2010	7.9	7.3	6.05	4.03	2.05	0.8	0.19	N.A.L3-159	IGN	2016	9.418	5.959	-3.459	40.007	IGN69
Wissant	Abords de Calais	50.883333	1.666667	11.53		8.62	8	6.6	4.44	2.35	1	0.39	pas de rattachement							
Boulogne-sur-Mer	Abords de Boulogne-sur-Mer	50.72745	1.5777	11.36	2017	9.67	9	7.3	5	2.7	1.15	0.39	N.BC-3 BIS	IGN	2016	12.867	8.485	-4.382	39.36	IGN69
Banc du Vergoyer	Abords de Boulogne-sur-Mer	50.594167	1.330333	11.15		9.55	8.9	7.2	4.92	2.65	1.05	0.33	pas de rattachement							
Le Touquet-Étaples	Abords de Boulogne-sur-Mer	50.5153	1.561	11.1	2012	10.14	9.45	7.6	5.2	2.8	1.15	0.36	N.C.L3-52	IGN	1982	14.58	10.135	-4.445	40.667	IGN69
Berck Plage - Fort Mahon	Abords de Boulogne-sur-Mer	50.341667	1.515833	11.05		10.54	9.75	7.85	5.37	2.95	1.15	0.29	N.C.L3 - 4A	IGN	1952		5.709			IGN69
Le Crotoy	Abords de Boulogne-sur-Mer	50.216667	1.633333				10.35	8.25					N.C.M3 - 31a	IGN	1989		7.764			IGN69
Saint-Valery-sur-Somme	Abords de Boulogne-sur-Mer	50.183333	1.616667	11.45			10.35	8.25					pas de rattachement							
Le Hourdel	Abords de Boulogne-sur-Mer	50.216667	1.566667	11.2			10.25	8.15					pas de rattachement							
Cayeux-sur-Mer	Abords de Boulogne-sur-Mer	50.183333	1.483333	10.92		10.58	9.85	8	5.49	3	1.2	0.42	pas de rattachement							
Bouée entrée Baie de Somme (AT-SO)	Abords de Boulogne-sur-Mer	50.235231	1.472297	10.9	2012	10.67	9.85	7.9	5.42	2.9	1.2	0.32	pas de rattachement							
Dieppe	Abords de Dieppe	49.93	1.085	10.73	2022	10.37	9.5	7.5	5.08	2.7	0.95	0.07	N.C.P3 - 2	IGN	2013	10.33	5.876	-4.454	39.721	IGN69
Le Tréport	Abords de Dieppe	50.066667	1.366667	10.81		10.31	9.5	7.5	5.05	2.6	0.9	0.1	N.C.N3P3 - 3	IGN	2013	10.053	5.521	-4.532	39.571	IGN69
Saint-Valery-en-Caux	Abords de Dieppe	49.883333	0.72	10.54		9.59	8.85	7	4.72	2.45	0.75	-0.05	NN' - 240	IGN	1998	14.895	10.62	-4.275		IGN69
Cherbourg	Abords de Cherbourg et du Havre	49.651167	-1.6355	7.88	2011	7.15	6.45	5.1	3.87	2.6	1.15	0.33	N.Q.Z3-3	IGN	2006	9.238	5.953	-3.285	43.713	IGN69
Fécamp	Abords de Cherbourg et du Havre	49.76235	0.36705	10.22	2012	9.27	8.55	6.95	4.96	2.85	1.25	0.4	NN'-169	IGN	1998	12.274	7.839	-4.435		IGN69
Étretat	Abords de Cherbourg et du Havre	49.713333	0.198333	10.11		8.76	8.25	6.75	4.8	2.85	1.25	0.36	N.C.T3U3 - 23	IGN	2008	11.565	7.198	-4.367		IGN69
Le Havre	Abords de Cherbourg et du Havre	49.481667	0.106167	9.85	2011	8.56	8	6.7	4.96	2.95	1.25	0.3	N.CP-15	IGN	2016	9.767	5.392	-4.375	40.651	IGN69
Le Havre-Antifer (Terminal pétrolier)	Abords de Cherbourg et du Havre	49.65	0.15	9.94		8.56	8.1	6.75	4.87	2.95	1.3	0.44	Repère du Grouin Type PAH. Rivet scellé au pied de la falaise à l'extrémité Nord Est du port pétrolier, derrière les cuves de carburant.	Shom	1990	13.377	8.967	-4.41		IGN69
Alpha-Baie de Seine	Abords de Cherbourg et du Havre	49.859731	-0.388656	9.96	2014	7.28	6.8	5.6	4.11	2.45	1.05	0.3	pas de rattachement							
PK 364,775 : Balise A	Abords de Cherbourg et du Havre	49.433333	0.121667	9.83		8.64	8	6.65	4.91	2.95	1.3	0.21	Coin Nord Est de la plateforme supérieure de la balise A	Shom	2013	15.66	11.28	-4.38	39.78	IGN69
PK 355,850 : Honfleur	Abords de Cherbourg et du Havre	49.416667	0.233333	10		8.56	8.05	6.75	5.03	3	1.65	0.57	CN - 215	IGN	2016	9.878	5.499	-4.379		IGN69
Trouville-Deauville	Abords de Cherbourg et du Havre	49.366667	0.083333	9.83		8.94	8.4	7	5.15	3.2	1.35	0.31	pas de rattachement							
Dives-sur-Mer	Abords de Cherbourg et du Havre	49.3	-0.1	9.79		8.83	8.3	6.9	5.08	3.15	1.35	0.29	pas de rattachement							
Ouistreham	Abords de Cherbourg et du Havre	49.283333	-0.25	9.7	2022	8.32	7.75	6.5	4.8	2.8	1.15	0.31	N.P.K3-2	IGN	1987	10.11	6.03	-4.08	41.731	IGN69
